"Stu_ID","grade","class","gender","Math","English","Science","Marketing","Writing"
"10101",1,"A","M",55,84,50,40,59
"10102",1,"A","M",29,94,41,87,57
"10103",1,"A","F",28,80,68,41,100
"10104",1,"A","F",45,74,48,88,75
"10105",1,"A","F",28,69,57,91,66
"10106",1,"A","M",86,51,68,59,92
"10107",1,"A","M",47,52,98,81,79
"10108",1,"A","F",80,67,98,85,90
"10109",1,"A","M",30,32,74,86,52
"10110",1,"A","M",94,39,90,67,28
"10111",1,"A","M",27,61,82,29,94
"10112",1,"A","M",88,39,32,70,87
"10113",1,"A","M",27,100,75,80,28
"10114",1,"A","F",35,70,31,51,34
"10115",1,"A","F",60,61,40,85,59
"10116",1,"A","F",58,66,94,72,94
"10117",1,"A","M",25,83,62,81,50
"10118",1,"A","F",54,82,67,42,91
"10119",1,"A","M",98,35,84,55,42
"10120",1,"A","F",50,91,71,71,95
"10121",1,"A","F",60,99,59,77,66
"10122",1,"A","M",91,84,47,43,56
"10123",1,"A","M",51,41,93,37,27
"10124",1,"A","F",76,63,82,47,28
"10125",1,"A","F",62,96,86,55,59
"10126",1,"A","M",29,29,46,71,72
"10127",1,"A","F",56,73,41,63,86
"10128",1,"A","F",92,59,61,96,83
"10129",1,"A","F",44,93,38,38,69
"10130",1,"A","F",48,49,70,67,87
"10131",1,"A","M",69,59,26,31,43
"10132",1,"A","F",93,54,41,96,98
"10133",1,"A","M",84,46,39,32,63
"10134",1,"A","M",49,75,67,86,80
"10135",1,"A","F",36,90,49,52,55
"10136",1,"A","F",35,95,94,74,68
"10137",1,"A","F",77,38,98,69,89
"10138",1,"A","M",93,91,90,43,36
"10139",1,"A","F",88,58,62,62,99
"10140",1,"A","F",45,83,33,61,62
"10201",1,"B","M",93,61,93,77,76
"10202",1,"B","F",70,86,73,83,79
"10203",1,"B","F",44,96,84,61,26
"10204",1,"B","M",44,70,95,62,33
"10205",1,"B","F",85,46,63,33,30
"10206",1,"B","M",46,60,54,79,85
"10207",1,"B","F",85,97,50,32,38
"10208",1,"B","M",58,39,39,35,40
"10209",1,"B","M",64,63,55,75,47
"10210",1,"B","M",47,77,56,78,42
"10211",1,"B","F",92,26,41,52,26
"10212",1,"B","M",44,69,48,72,51
"10213",1,"B","M",97,50,26,82,49
"10214",1,"B","M",49,93,31,64,60
"10215",1,"B","M",80,77,100,41,45
"10216",1,"B","F",80,40,86,43,68
"10217",1,"B","F",80,60,56,90,71
"10218",1,"B","M",80,35,38,68,66
"10219",1,"B","F",78,74,80,61,36
"10220",1,"B","M",77,76,90,50,61
"10221",1,"B","F",89,73,85,68,85
"10222",1,"B","F",69,40,56,71,61
"10223",1,"B","F",59,36,89,74,44
"10224",1,"B","F",75,79,27,27,93
"10225",1,"B","F",85,31,89,76,58
"10226",1,"B","F",50,38,89,28,55
"10227",1,"B","M",29,94,62,77,62
"10228",1,"B","F",97,40,82,95,82
"10229",1,"B","M",81,57,79,38,98
"10230",1,"B","F",98,35,73,34,77
"10231",1,"B","F",85,28,59,39,66
"10232",1,"B","F",84,46,78,55,57
"10233",1,"B","M",50,99,99,83,83
"10234",1,"B","F",41,27,63,83,60
"10235",1,"B","F",28,88,28,83,31
"10236",1,"B","F",51,36,47,43,58
"10237",1,"B","M",82,97,63,87,92
"10238",1,"B","F",87,63,31,50,92
"10239",1,"B","F",27,26,47,55,34
"10240",1,"B","M",33,34,30,100,28
"10301",1,"C","M",48,36,100,69,25
"10302",1,"C","F",65,47,86,48,99
"10303",1,"C","F",65,64,28,75,62
"10304",1,"C","M",62,40,77,58,45
"10305",1,"C","F",79,84,70,47,89
"10306",1,"C","M",35,97,67,77,81
"10307",1,"C","F",37,79,88,68,29
"10308",1,"C","M",98,74,47,48,87
"10309",1,"C","M",30,60,46,94,81
"10310",1,"C","F",27,29,45,61,91
"10311",1,"C","M",79,42,55,69,68
"10312",1,"C","F",81,56,81,86,60
"10313",1,"C","F",49,89,80,73,83
"10314",1,"C","M",96,52,80,58,35
"10315",1,"C","F",97,82,31,41,50
"10316",1,"C","M",82,37,71,75,63
"10317",1,"C","F",67,86,71,85,96
"10318",1,"C","F",74,37,63,82,64
"10319",1,"C","M",48,71,80,47,67
"10320",1,"C","F",41,35,74,42,50
"10321",1,"C","F",84,72,79,71,88
"10322",1,"C","F",42,44,85,71,35
"10323",1,"C","M",82,72,25,38,55
"10324",1,"C","F",34,32,49,56,77
"10325",1,"C","F",62,86,58,26,49
"10326",1,"C","F",56,59,71,31,100
"10327",1,"C","F",27,41,90,87,28
"10328",1,"C","F",75,73,92,45,71
"10329",1,"C","M",78,77,42,29,72
"10330",1,"C","F",42,63,55,74,65
"10331",1,"C","F",73,49,76,37,59
"10332",1,"C","M",93,75,86,100,76
"10333",1,"C","F",37,65,84,88,91
"10334",1,"C","F",100,48,88,91,41
"10335",1,"C","M",92,69,48,82,62
"10336",1,"C","F",91,27,27,74,91
"10337",1,"C","F",71,64,29,30,31
"10338",1,"C","M",69,75,59,98,46
"10339",1,"C","M",68,53,78,72,94
"10340",1,"C","F",50,99,91,74,75
"10401",1,"D","F",31,51,25,96,28
"10402",1,"D","M",27,51,34,73,83
"10403",1,"D","F",56,38,86,57,61
