"name","group"
"Myriel",1
"Napoleon",1
"Mlle.Baptistine",1
"Mme.Magloire",1
"CountessdeLo",1
"Geborand",1
"Champtercier",1
"Cravatte",1
"Count",1
"OldMan",1
"Labarre",2
"Valjean",2
"Marguerite",3
"Mme.deR",2
"Isabeau",2
"Gervais",2
"Tholomyes",3
"Listolier",3
"Fameuil",3
"Blacheville",3
"Favourite",3
"Dahlia",3
"Zephine",3
"Fantine",3
"Mme.Thenardier",4
"Thenardier",4
"Cosette",5
"Javert",4
"Fauchelevent",0
"Bamatabois",2
"Perpetue",3
"Simplice",2
"Scaufflaire",2
"Woman1",2
"Judge",2
"Champmathieu",2
"Brevet",2
"Chenildieu",2
"Cochepaille",2
"Pontmercy",4
"Boulatruelle",6
"Eponine",4
"Anzelma",4
"Woman2",5
"MotherInnocent",0
"Gribier",0
"Jondrette",7
"Mme.Burgon",7
"Gavroche",8
"Gillenormand",5
"Magnon",5
"Mlle.Gillenormand",5
"Mme.Pontmercy",5
"Mlle.Vaubois",5
"Lt.Gillenormand",5
"Marius",8
"BaronessT",5
"Mabeuf",8
"Enjolras",8
"Combeferre",8
"Prouvaire",8
"Feuilly",8
"Courfeyrac",8
"Bahorel",8
"Bossuet",8
"Joly",8
"Grantaire",8
"MotherPlutarch",9
"Gueulemer",4
"Babet",4
"Claquesous",4
"Montparnasse",4
"Toussaint",5
"Child1",10
"Child2",10
"Brujon",4
"Mme.Hucheloup",8
